Maturity,Coupon,Asked
2/15/2016,0.375,100.0234
2/15/2016,4.5,100.0781
2/15/2016,9.25,100.1016
2/29/2016,0.25,100.0313
2/29/2016,2.125,100.1172
2/29/2016,2.625,100.125
3/15/2016,0.375,100.0234
3/31/2016,0.375,100.0234
3/31/2016,2.25,100.2813
3/31/2016,2.375,100.3281
4/15/2016,0.25,100
4/30/2016,0.375,100.0234
4/30/2016,2,100.3906
4/30/2016,2.625,100.4844
5/15/2016,0.25,99.9688
5/15/2016,5.125,101.2344
5/15/2016,7.25,101.7891
5/31/2016,0.375,99.9922
5/31/2016,1.75,100.4141
5/31/2016,3.25,100.875
6/15/2016,0.5,100.0469
6/30/2016,0.5,100.0391
6/30/2016,1.5,100.4375
6/30/2016,3.25,101.1172
7/15/2016,0.625,100.1094
7/31/2016,0.5,100.0391
7/31/2016,1.5,100.5391
7/31/2016,3.25,101.3281
8/15/2016,0.625,100.0938
8/15/2016,4.875,102.2813
8/31/2016,0.5,100.0156
8/31/2016,1,100.2969
8/31/2016,3,101.3828
9/15/2016,0.875,100.2031
9/30/2016,0.5,100.0156
9/30/2016,1,100.3281
9/30/2016,3,101.5781
10/15/2016,0.625,100.0859
10/31/2016,0.375,99.9141
10/31/2016,1,100.3359
10/31/2016,3.125,101.8516
11/15/2016,0.625,100.0625
11/15/2016,4.625,103.0781
11/15/2016,7.5,105.2578
11/30/2016,0.5,99.9609
11/30/2016,0.875,100.2734
11/30/2016,2.75,101.75
12/15/2016,0.625,100.0625
12/31/2016,0.625,100.0391
12/31/2016,0.875,100.2734
12/31/2016,3.25,102.3438
1/15/2017,0.75,100.1641
1/31/2017,0.5,99.9297
1/31/2017,0.875,100.2813
1/31/2017,3.125,102.4609
2/15/2017,0.625,100.0547
2/15/2017,4.625,104.0547
2/28/2017,0.5,99.9141
2/28/2017,0.875,100.2813
2/28/2017,3,102.4922
3/15/2017,0.75,100.1563
3/31/2017,0.5,99.8828
3/31/2017,1,100.4531
3/31/2017,3.25,102.9688
4/15/2017,0.875,100.3125
4/30/2017,0.5,99.8672
4/30/2017,0.875,100.3047
4/30/2017,3.125,103.0234
5/15/2017,0.875,100.2813
5/15/2017,4.5,104.8359
5/15/2017,8.75,110.2109
5/31/2017,0.625,99.9219
5/31/2017,2.75,102.6953
6/15/2017,0.875,100.2656
6/30/2017,0.625,99.9297
6/30/2017,0.75,100.1016
6/30/2017,2.5,102.5156
7/15/2017,0.875,100.2734
7/31/2017,0.5,99.7422
7/31/2017,0.625,99.9063
7/31/2017,2.375,102.4609
8/15/2017,4.75,106.1094
8/15/2017,8.875,112.4063
8/31/2017,0.625,99.8672
8/31/2017,1.875,101.8047
9/15/2017,1,100.4688
9/30/2017,0.625,99.8438
9/30/2017,1.875,101.9141
10/15/2017,0.875,100.2734
10/31/2017,0.75,100.0469
10/31/2017,1.875,101.9688
11/15/2017,0.875,100.2891
11/15/2017,4.25,106.1641
11/30/2017,0.625,99.875
11/30/2017,0.875,100.3203
11/30/2017,2.25,102.7344
12/15/2017,1,100.5781
12/31/2017,0.75,100.1016
12/31/2017,1,100.5625
12/31/2017,2.75,103.7891
1/15/2018,0.875,100.3203
1/31/2018,0.75,100.1406
