,AAPL,ADBE,ADI,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,ATVI,AVGO,BBBY,BIDU,BIIB,BRCM,CA,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CSCO,CTRX,CTSH,CTXS,DISCA,DISH,DLTR,DTV,EBAY,EQIX,ESRX,EXPD,EXPE,FAST,FB,FFIV,FISV,GILD,GMCR,GOOG,GRMN,HSIC,ILMN,INTC,INTU,ISRG,KLAC,KRFT,LBTYA,LINTA,LLTC,LMCA,MAR,MAT,MNST,MSFT,MU,MWW,MXIM,MYL,NFLX,NTAP,NVDA,NWSA,NXPI,ORLY,PAYX,PCAR,PCLN,QCOM,REGN,ROST,SBAC,SBUX,SIAL,SIRI,SNDK,SPLS,SRCL,STX,SYMC,TRIP,TSCO,TSLA,TXN,VIAB,VIP,VOD,VRSK,VRTX,WDC,WFM,WYNN,XLNX,YHOO
AAPL,1,0.948717949,0.905982906,0.769230769,0.948717949,0.811965812,0.94017094,0.863247863,0.923076923,0.965811966,0.846153846,0.726495726,0.871794872,0.957264957,0.794871795,0.982905983,0.871794872,1,0.316239316,0.974358974,0.854700855,0.393162393,0.854700855,0.888888889,1,0.931623932,0.683760684,0.829059829,0.888888889,0.923076923,0.965811966,0.871794872,0.923076923,0.837606838,0.811965812,0.914529915,0.974358974,0.786324786,0.923076923,0.760683761,0.829059829,0.931623932,0.897435897,0.957264957,0.811965812,0.888888889,0.623931624,0.811965812,0.931623932,0.94017094,0.837606838,0.820512821,0.692307692,0.752136752,0.735042735,0.957264957,0.735042735,0.854700855,0.735042735,0.64957265,0.991452991,0.982905983,0.914529915,0.94017094,0.871794872,0.820512821,0.863247863,0.854700855,0.974358974,0.743589744,0.837606838,0.957264957,0.393162393,0.820512821,0.923076923,0.897435897,0.854700855,0.888888889,0.957264957,0.991452991,0.88034188,0.897435897,0.914529915,0.888888889,0.974358974,0.948717949,0.794871795,0.512820513,0.769230769,0.786324786,0.743589744,0.863247863,0.871794872,0.957264957,0.888888889,0.948717949,0.965811966,0.777777778,0.931623932,0.837606838
ADBE,0.948717949,1,0.854700855,0.717948718,1,0.863247863,0.991452991,0.914529915,0.871794872,0.982905983,0.897435897,0.777777778,0.820512821,0.905982906,0.846153846,0.965811966,0.923076923,0.948717949,0.264957265,0.974358974,0.905982906,0.341880342,0.905982906,0.837606838,0.948717949,0.982905983,0.735042735,0.88034188,0.94017094,0.974358974,0.982905983,0.923076923,0.974358974,0.888888889,0.863247863,0.965811966,0.974358974,0.837606838,0.871794872,0.811965812,0.88034188,0.982905983,0.948717949,0.991452991,0.863247863,0.94017094,0.572649573,0.863247863,0.88034188,0.991452991,0.888888889,0.871794872,0.743589744,0.803418803,0.683760684,0.991452991,0.683760684,0.905982906,0.683760684,0.598290598,0.94017094,0.965811966,0.965811966,0.991452991,0.820512821,0.871794872,0.914529915,0.905982906,0.974358974,0.794871795,0.786324786,0.905982906,0.341880342,0.871794872,0.974358974,0.948717949,0.905982906,0.94017094,0.905982906,0.94017094,0.931623932,0.948717949,0.965811966,0.94017094,0.974358974,1,0.846153846,0.461538462,0.820512821,0.735042735,0.794871795,0.914529915,0.923076923,0.905982906,0.94017094,0.897435897,0.982905983,0.829059829,0.982905983,0.888888889
ADI,0.905982906,0.854700855,1,0.863247863,0.854700855,0.717948718,0.846153846,0.769230769,0.982905983,0.871794872,0.752136752,0.632478632,0.965811966,0.948717949,0.700854701,0.888888889,0.777777778,0.905982906,0.41025641,0.88034188,0.760683761,0.487179487,0.760683761,0.982905983,0.905982906,0.837606838,0.58974359,0.735042735,0.794871795,0.829059829,0.871794872,0.777777778,0.829059829,0.743589744,0.717948718,0.820512821,0.88034188,0.692307692,0.982905983,0.666666667,0.735042735,0.837606838,0.803418803,0.863247863,0.717948718,0.794871795,0.717948718,0.717948718,0.974358974,0.846153846,0.743589744,0.726495726,0.598290598,0.658119658,0.829059829,0.863247863,0.829059829,0.760683761,0.829059829,0.743589744,0.914529915,0.888888889,0.820512821,0.846153846,0.965811966,0.726495726,0.769230769,0.760683761,0.88034188,0.64957265,0.931623932,0.948717949,0.487179487,0.726495726,0.829059829,0.803418803,0.760683761,0.794871795,0.948717949,0.914529915,0.786324786,0.803418803,0.820512821,0.794871795,0.88034188,0.854700855,0.700854701,0.606837607,0.675213675,0.88034188,0.64957265,0.769230769,0.777777778,0.948717949,0.794871795,0.957264957,0.871794872,0.683760684,0.837606838,0.743589744
ADP,0.769230769,0.717948718,0.863247863,1,0.717948718,0.581196581,0.709401709,0.632478632,0.846153846,0.735042735,0.615384615,0.495726496,0.897435897,0.811965812,0.564102564,0.752136752,0.641025641,0.769230769,0.547008547,0.743589744,0.623931624,0.623931624,0.623931624,0.88034188,0.769230769,0.700854701,0.452991453,0.598290598,0.658119658,0.692307692,0.735042735,0.641025641,0.692307692,0.606837607,0.581196581,0.683760684,0.743589744,0.555555556,0.846153846,0.52991453,0.598290598,0.700854701,0.666666667,0.726495726,0.581196581,0.658119658,0.854700855,0.581196581,0.837606838,0.709401709,0.606837607,0.58974359,0.461538462,0.521367521,0.965811966,0.726495726,0.965811966,0.623931624,0.965811966,0.88034188,0.777777778,0.752136752,0.683760684,0.709401709,0.897435897,0.58974359,0.632478632,0.623931624,0.743589744,0.512820513,0.931623932,0.811965812,0.623931624,0.58974359,0.692307692,0.666666667,0.623931624,0.658119658,0.811965812,0.777777778,0.64957265,0.666666667,0.683760684,0.658119658,0.743589744,0.717948718,0.564102564,0.743589744,0.538461538,0.982905983,0.512820513,0.632478632,0.641025641,0.811965812,0.658119658,0.820512821,0.735042735,0.547008547,0.700854701,0.606837607
ADSK,0.948717949,1,0.854700855,0.717948718,1,0.863247863,0.991452991,0.914529915,0.871794872,0.982905983,0.897435897,0.777777778,0.820512821,0.905982906,0.846153846,0.965811966,0.923076923,0.948717949,0.264957265,0.974358974,0.905982906,0.341880342,0.905982906,0.837606838,0.948717949,0.982905983,0.735042735,0.88034188,0.94017094,0.974358974,0.982905983,0.923076923,0.974358974,0.888888889,0.863247863,0.965811966,0.974358974,0.837606838,0.871794872,0.811965812,0.88034188,0.982905983,0.948717949,0.991452991,0.863247863,0.94017094,0.572649573,0.863247863,0.88034188,0.991452991,0.888888889,0.871794872,0.743589744,0.803418803,0.683760684,0.991452991,0.683760684,0.905982906,0.683760684,0.598290598,0.94017094,0.965811966,0.965811966,0.991452991,0.820512821,0.871794872,0.914529915,0.905982906,0.974358974,0.794871795,0.786324786,0.905982906,0.341880342,0.871794872,0.974358974,0.948717949,0.905982906,0.94017094,0.905982906,0.94017094,0.931623932,0.948717949,0.965811966,0.94017094,0.974358974,1,0.846153846,0.461538462,0.820512821,0.735042735,0.794871795,0.914529915,0.923076923,0.905982906,0.94017094,0.897435897,0.982905983,0.829059829,0.982905983,0.888888889
AKAM,0.811965812,0.863247863,0.717948718,0.581196581,0.863247863,1,0.871794872,0.948717949,0.735042735,0.846153846,0.965811966,0.914529915,0.683760684,0.769230769,0.982905983,0.829059829,0.94017094,0.811965812,0.128205128,0.837606838,0.957264957,0.205128205,0.957264957,0.700854701,0.811965812,0.88034188,0.871794872,0.982905983,0.923076923,0.888888889,0.846153846,0.94017094,0.888888889,0.974358974,1,0.897435897,0.837606838,0.974358974,0.735042735,0.948717949,0.982905983,0.88034188,0.914529915,0.854700855,1,0.923076923,0.435897436,1,0.743589744,0.871794872,0.974358974,0.991452991,0.88034188,0.94017094,0.547008547,0.854700855,0.547008547,0.957264957,0.547008547,0.461538462,0.803418803,0.829059829,0.897435897,0.871794872,0.683760684,0.991452991,0.948717949,0.957264957,0.837606838,0.931623932,0.64957265,0.769230769,0.205128205,0.991452991,0.888888889,0.914529915,0.957264957,0.923076923,0.769230769,0.803418803,0.931623932,0.914529915,0.897435897,0.923076923,0.837606838,0.863247863,0.982905983,0.324786325,0.957264957,0.598290598,0.931623932,0.948717949,0.94017094,0.769230769,0.923076923,0.760683761,0.846153846,0.965811966,0.88034188,0.974358974
ALTR,0.94017094,0.991452991,0.846153846,0.709401709,0.991452991,0.871794872,1,0.923076923,0.863247863,0.974358974,0.905982906,0.786324786,0.811965812,0.897435897,0.854700855,0.957264957,0.931623932,0.94017094,0.256410256,0.965811966,0.914529915,0.333333333,0.914529915,0.829059829,0.94017094,0.991452991,0.743589744,0.888888889,0.948717949,0.982905983,0.974358974,0.931623932,0.982905983,0.897435897,0.871794872,0.974358974,0.965811966,0.846153846,0.863247863,0.820512821,0.888888889,0.991452991,0.957264957,0.982905983,0.871794872,0.948717949,0.564102564,0.871794872,0.871794872,1,0.897435897,0.88034188,0.752136752,0.811965812,0.675213675,0.982905983,0.675213675,0.914529915,0.675213675,0.58974359,0.931623932,0.957264957,0.974358974,1,0.811965812,0.88034188,0.923076923,0.914529915,0.965811966,0.803418803,0.777777778,0.897435897,0.333333333,0.88034188,0.982905983,0.957264957,0.914529915,0.948717949,0.897435897,0.931623932,0.94017094,0.957264957,0.974358974,0.948717949,0.965811966,0.991452991,0.854700855,0.452991453,0.829059829,0.726495726,0.803418803,0.923076923,0.931623932,0.897435897,0.948717949,0.888888889,0.974358974,0.837606838,0.991452991,0.897435897
ALXN,0.863247863,0.914529915,0.769230769,0.632478632,0.914529915,0.948717949,0.923076923,1,0.786324786,0.897435897,0.982905983,0.863247863,0.735042735,0.820512821,0.931623932,0.88034188,0.991452991,0.863247863,0.179487179,0.888888889,0.991452991,0.256410256,0.991452991,0.752136752,0.863247863,0.931623932,0.820512821,0.965811966,0.974358974,0.94017094,0.897435897,0.991452991,0.94017094,0.974358974,0.948717949,0.948717949,0.888888889,0.923076923,0.786324786,0.897435897,0.965811966,0.931623932,0.965811966,0.905982906,0.948717949,0.974358974,0.487179487,0.948717949,0.794871795,0.923076923,0.974358974,0.957264957,0.829059829,0.888888889,0.598290598,0.905982906,0.598290598,0.991452991,0.598290598,0.512820513,0.854700855,0.88034188,0.948717949,0.923076923,0.735042735,0.957264957,1,0.991452991,0.888888889,0.88034188,0.700854701,0.820512821,0.256410256,0.957264957,0.94017094,0.965811966,0.991452991,0.974358974,0.820512821,0.854700855,0.982905983,0.965811966,0.948717949,0.974358974,0.888888889,0.914529915,0.931623932,0.376068376,0.905982906,0.64957265,0.88034188,1,0.991452991,0.820512821,0.974358974,0.811965812,0.897435897,0.914529915,0.931623932,0.974358974
AMAT,0.923076923,0.871794872,0.982905983,0.846153846,0.871794872,0.735042735,0.863247863,0.786324786,1,0.888888889,0.769230769,0.64957265,0.948717949,0.965811966,0.717948718,0.905982906,0.794871795,0.923076923,0.393162393,0.897435897,0.777777778,0.47008547,0.777777778,0.965811966,0.923076923,0.854700855,0.606837607,0.752136752,0.811965812,0.846153846,0.888888889,0.794871795,0.846153846,0.760683761,0.735042735,0.837606838,0.897435897,0.709401709,1,0.683760684,0.752136752,0.854700855,0.820512821,0.88034188,0.735042735,0.811965812,0.700854701,0.735042735,0.991452991,0.863247863,0.760683761,0.743589744,0.615384615,0.675213675,0.811965812,0.88034188,0.811965812,0.777777778,0.811965812,0.726495726,0.931623932,0.905982906,0.837606838,0.863247863,0.948717949,0.743589744,0.786324786,0.777777778,0.897435897,0.666666667,0.914529915,0.965811966,0.47008547,0.743589744,0.846153846,0.820512821,0.777777778,0.811965812,0.965811966,0.931623932,0.803418803,0.820512821,0.837606838,0.811965812,0.897435897,0.871794872,0.717948718,0.58974359,0.692307692,0.863247863,0.666666667,0.786324786,0.794871795,0.965811966,0.811965812,0.974358974,0.888888889,0.700854701,0.854700855,0.760683761
AMGN,0.965811966,0.982905983,0.871794872,0.735042735,0.982905983,0.846153846,0.974358974,0.897435897,0.888888889,1,0.88034188,0.760683761,0.837606838,0.923076923,0.829059829,0.982905983,0.905982906,0.965811966,0.282051282,0.991452991,0.888888889,0.358974359,0.888888889,0.854700855,0.965811966,0.965811966,0.717948718,0.863247863,0.923076923,0.957264957,1,0.905982906,0.957264957,0.871794872,0.846153846,0.948717949,0.991452991,0.820512821,0.888888889,0.794871795,0.863247863,0.965811966,0.931623932,0.991452991,0.846153846,0.923076923,0.58974359,0.846153846,0.897435897,0.974358974,0.871794872,0.854700855,0.726495726,0.786324786,0.700854701,0.991452991,0.700854701,0.888888889,0.700854701,0.615384615,0.957264957,0.982905983,0.948717949,0.974358974,0.837606838,0.854700855,0.897435897,0.888888889,0.991452991,0.777777778,0.803418803,0.923076923,0.358974359,0.854700855,0.957264957,0.931623932,0.888888889,0.923076923,0.923076923,0.957264957,0.914529915,0.931623932,0.948717949,0.923076923,0.991452991,0.982905983,0.829059829,0.478632479,0.803418803,0.752136752,0.777777778,0.897435897,0.905982906,0.923076923,0.923076923,0.914529915,1,0.811965812,0.965811966,0.871794872
